County,Median_Household_Income
"Otero County, New Mexico",50833
"Quay County, New Mexico",38998
"Rio Arriba County, New Mexico",52031
"Roosevelt County, New Mexico",52644
"Sandoval County, New Mexico",76424
"San Juan County, New Mexico",50734
"San Miguel County, New Mexico",43490
"Santa Fe County, New Mexico",70522
"Sierra County, New Mexico",35256
"Socorro County, New Mexico",40699
"Taos County, New Mexico",55145
"Torrance County, New Mexico",50727
"Union County, New Mexico",41714
"Valencia County, New Mexico",56246
"Albany County, New York",78829
"Allegany County, New York",58725
"Bronx County, New York",47036
"Broome County, New York",58317
"Cattaraugus County, New York",56889
"Cayuga County, New York",63227
"Chautauqua County, New York",54625
"Chemung County, New York",61358
"Chenango County, New York",61741
"Clinton County, New York",67097
"Columbia County, New York",81741
"Cortland County, New York",65029
"Delaware County, New York",58338
"Dutchess County, New York",94578
"Erie County, New York",68014
"Essex County, New York",68090
"Franklin County, New York",60270
"Fulton County, New York",60557
"Genesee County, New York",68178
"Greene County, New York",70294
"Hamilton County, New York",66891
"Herkimer County, New York",68104
"Jefferson County, New York",62782
"Kings County, New York",74692
"Lewis County, New York",64401
"Livingston County, New York",70443
"Madison County, New York",68869
"Monroe County, New York",71450
"Montgomery County, New York",58033
"Nassau County, New York",137709
"New York County, New York",99880
"Niagara County, New York",65882
"Oneida County, New York",66402
"Onondaga County, New York",71479
"Ontario County, New York",76603
"Orange County, New York",91806
"Orleans County, New York",61069
"Oswego County, New York",65054
"Otsego County, New York",65778
"Putnam County, New York",120970
"Queens County, New York",82431
"Rensselaer County, New York",83734
"Richmond County, New York",96185
"Rockland County, New York",106173
"St. Lawrence County, New York",58339
"Saratoga County, New York",97038
"Schenectady County, New York",75056
"Schoharie County, New York",71479
"Schuyler County, New York",61316
"Seneca County, New York",64050
"Steuben County, New York",62506
"Suffolk County, New York",122498
"Sullivan County, New York",67841
"Tioga County, New York",70427
"Tompkins County, New York",69995
"Ulster County, New York",77197
"Warren County, New York",74531
"Washington County, New York",68703
"Wayne County, New York",71007
"Westchester County, New York",114651
"Wyoming County, New York",65066
"Yates County, New York",63974
"Alamance County, North Carolina",60866
"Alexander County, North Carolina",62764
"Alleghany County, North Carolina",42115
"Anson County, North Carolina",42000
"Ashe County, North Carolina",49176
"Avery County, North Carolina",53513
"Beaufort County, North Carolina",56081
"Bertie County, North Carolina",41652
"Bladen County, North Carolina",40476
"Brunswick County, North Carolina",71193
"Buncombe County, North Carolina",66531
"Burke County, North Carolina",53732
"Cabarrus County, North Carolina",83828
"Caldwell County, North Carolina",52362
"Camden County, North Carolina",79120
"Carteret County, North Carolina",66965
"Caswell County, North Carolina",56999
"Catawba County, North Carolina",62070
"Chatham County, North Carolina",84222
"Cherokee County, North Carolina",49254
"Chowan County, North Carolina",51188
"Clay County, North Carolina",57065
"Cleveland County, North Carolina",50723
"Columbus County, North Carolina",43206
"Craven County, North Carolina",61676
"Cumberland County, North Carolina",55551
"Currituck County, North Carolina",82793
"Dare County, North Carolina",79742
"Davidson County, North Carolina",58473
"Davie County, North Carolina",69105
"Duplin County, North Carolina",49376
"Durham County, North Carolina",74927
"Edgecombe County, North Carolina",46370
"Forsyth County, North Carolina",61229
"Franklin County, North Carolina",70493
"Gaston County, North Carolina",62628
"Gates County, North Carolina",55750
"Graham County, North Carolina",46010
"Granville County, North Carolina",68079
"Greene County, North Carolina",50320
"Guilford County, North Carolina",62880
"Halifax County, North Carolina",41629
"Harnett County, North Carolina",64992
"Haywood County, North Carolina",56596
"Henderson County, North Carolina",65508
"Hertford County, North Carolina",46196
"Hoke County, North Carolina",57141
"Hyde County, North Carolina",43724
"Iredell County, North Carolina",73103
"Jackson County, North Carolina",51482
"Johnston County, North Carolina",75288
"Jones County, North Carolina",53053
"Lee County, North Carolina",60941
"Lenoir County, North Carolina",43063
"Lincoln County, North Carolina",75672
"McDowell County, North Carolina",53532
"Macon County, North Carolina",51042
"Madison County, North Carolina",56664
"Martin County, North Carolina",44799
"Mecklenburg County, North Carolina",79265
"Mitchell County, North Carolina",55534
"Montgomery County, North Carolina",55523
"Moore County, North Carolina",77981
"Nash County, North Carolina",56770
"New Hanover County, North Carolina",67515
"Northampton County, North Carolina",45698
"Onslow County, North Carolina",59976
"Orange County, North Carolina",85785
"Pamlico County, North Carolina",55867
"Pasquotank County, North Carolina",61411
"Pender County, North Carolina",74538
"Perquimans County, North Carolina",59401
"Person County, North Carolina",60688
"Pitt County, North Carolina",54915
"Polk County, North Carolina",60465
"Randolph County, North Carolina",56423
"Richmond County, North Carolina",42354
"Robeson County, North Carolina",39393
"Rockingham County, North Carolina",50737
"Rowan County, North Carolina",59717
"Rutherford County, North Carolina",50512
"Sampson County, North Carolina",49963
"Scotland County, North Carolina",41948
"Stanly County, North Carolina",60634
"Stokes County, North Carolina",57539
"Surry County, North Carolina",52743
"Swain County, North Carolina",52818
"Transylvania County, North Carolina",62056
"Tyrrell County, North Carolina",55341
"Union County, North Carolina",95533
"Vance County, North Carolina",48340
"Wake County, North Carolina",96734
"Warren County, North Carolina",42282
"Washington County, North Carolina",38927
"Watauga County, North Carolina",50034
"Wayne County, North Carolina",54323
"Wilkes County, North Carolina",49119
"Wilson County, North Carolina",49827
"Yadkin County, North Carolina",57486
"Yancey County, North Carolina",53103
"Adams County, North Dakota",57950
"Barnes County, North Dakota",64447
"Benson County, North Dakota",63220
"Billings County, North Dakota",74000
"Bottineau County, North Dakota",80113
"Bowman County, North Dakota",79709
"Burke County, North Dakota",94583
"Burleigh County, North Dakota",82141
"Cass County, North Dakota",73249
"Cavalier County, North Dakota",61174
"Dickey County, North Dakota",60250
"Divide County, North Dakota",95938
"Dunn County, North Dakota",91758
"Eddy County, North Dakota",50375
"Emmons County, North Dakota",63750
"Foster County, North Dakota",78426
"Golden Valley County, North Dakota",84750
"Grand Forks County, North Dakota",64698
"Grant County, North Dakota",57069
"Griggs County, North Dakota",66688
"Hettinger County, North Dakota",66797
"Kidder County, North Dakota",57240
"LaMoure County, North Dakota",70227
"Logan County, North Dakota",59750
"McHenry County, North Dakota",78071
"McIntosh County, North Dakota",64375
"McKenzie County, North Dakota",83813
"McLean County, North Dakota",80556
"Mercer County, North Dakota",82155
"Morton County, North Dakota",79555
"Mountrail County, North Dakota",81886
"Nelson County, North Dakota",62219
"Oliver County, North Dakota",69722
"Pembina County, North Dakota",64243
"Pierce County, North Dakota",59583
"Ramsey County, North Dakota",61490
"Ransom County, North Dakota",71462
"Renville County, North Dakota",77067
"Richland County, North Dakota",67089
"Rolette County, North Dakota",53806
"Sargent County, North Dakota",75648
"Sheridan County, North Dakota",68684
"Sioux County, North Dakota",41201
"Slope County, North Dakota",70625
"Stark County, North Dakota",78734
"Steele County, North Dakota",85750
"Stutsman County, North Dakota",59167
"Towner County, North Dakota",61250
"Traill County, North Dakota",81157
"Walsh County, North Dakota",68082
"Ward County, North Dakota",78143
"Wells County, North Dakota",59732
"Williams County, North Dakota",86139
"Adams County, Ohio",46234
"Allen County, Ohio",58976
"Ashland County, Ohio",62254
"Ashtabula County, Ohio",53663
"Athens County, Ohio",48750
"Auglaize County, Ohio",75231
"Belmont County, Ohio",56943
"Brown County, Ohio",66677
"Butler County, Ohio",77062
"Carroll County, Ohio",59872
"Champaign County, Ohio",70486
"Clark County, Ohio",58954
"Clermont County, Ohio",79573
"Clinton County, Ohio",64210
"Columbiana County, Ohio",55473
"Coshocton County, Ohio",52048
"Crawford County, Ohio",52486
"Cuyahoga County, Ohio",60074
"Darke County, Ohio",60237
"Defiance County, Ohio",69302
"Delaware County, Ohio",123995
"Erie County, Ohio",65171
"Fairfield County, Ohio",82969
"Fayette County, Ohio",56773
"Franklin County, Ohio",71070
"Fulton County, Ohio",71453
"Gallia County, Ohio",55533
"Geauga County, Ohio",97162
"Greene County, Ohio",81243
"Guernsey County, Ohio",53901
"Hamilton County, Ohio",68249
"Hancock County, Ohio",67006
"Hardin County, Ohio",55876
"Harrison County, Ohio",54056
"Henry County, Ohio",71616
"Highland County, Ohio",60522
"Hocking County, Ohio",59007
"Holmes County, Ohio",72987
"Huron County, Ohio",64144
"Jackson County, Ohio",56549
"Jefferson County, Ohio",53124
"Knox County, Ohio",71246
"Lake County, Ohio",76835
"Lawrence County, Ohio",51846
"Licking County, Ohio",78505
"Logan County, Ohio",69125
"Lorain County, Ohio",67272
"Lucas County, Ohio",57265
"Madison County, Ohio",77062
"Mahoning County, Ohio",54279
"Marion County, Ohio",55106
"Medina County, Ohio",89968
"Meigs County, Ohio",46255
"Mercer County, Ohio",73278
"Miami County, Ohio",71440
"Monroe County, Ohio",55381
"Montgomery County, Ohio",61942
"Morgan County, Ohio",51056
"Morrow County, Ohio",70412
"Muskingum County, Ohio",56810
"Noble County, Ohio",51547
"Ottawa County, Ohio",69515
"Paulding County, Ohio",65331
"Perry County, Ohio",62899
"Pickaway County, Ohio",67600
"Pike County, Ohio",50832
"Portage County, Ohio",69796
"Preble County, Ohio",66355
"Putnam County, Ohio",79453
"Richland County, Ohio",56557
"Ross County, Ohio",58048
"Sandusky County, Ohio",60814
"Scioto County, Ohio",46360
"Seneca County, Ohio",62476
"Shelby County, Ohio",73502
"Stark County, Ohio",63130
"Summit County, Ohio",68360
"Trumbull County, Ohio",53537
"Tuscarawas County, Ohio",61953
"Union County, Ohio",104496
"Van Wert County, Ohio",64841
"Vinton County, Ohio",50967
"Warren County, Ohio",103128
"Washington County, Ohio",59053
"Wayne County, Ohio",70320
"Williams County, Ohio",60632
"Wood County, Ohio",70537
"Wyandot County, Ohio",68552
"Adair County, Oklahoma",44955
"Alfalfa County, Oklahoma",75028
"Atoka County, Oklahoma",49181
"Beaver County, Oklahoma",62981
"Beckham County, Oklahoma",51499
"Blaine County, Oklahoma",56843
"Bryan County, Oklahoma",54289
"Caddo County, Oklahoma",52443
"Canadian County, Oklahoma",82364
"Carter County, Oklahoma",56390
"Cherokee County, Oklahoma",52410
"Choctaw County, Oklahoma",43252
"Cimarron County, Oklahoma",57100
"Cleveland County, Oklahoma",71757
"Coal County, Oklahoma",47117
"Comanche County, Oklahoma",57150
"Cotton County, Oklahoma",60208
"Craig County, Oklahoma",48018
"Creek County, Oklahoma",61657
"Custer County, Oklahoma",58669
"Delaware County, Oklahoma",53290
"Dewey County, Oklahoma",61310
"Ellis County, Oklahoma",57768
"Garfield County, Oklahoma",64165
"Garvin County, Oklahoma",53600
"Grady County, Oklahoma",74349
"Grant County, Oklahoma",58980
"Greer County, Oklahoma",55204
"Harmon County, Oklahoma",55729
"Harper County, Oklahoma",59934
"Haskell County, Oklahoma",46239
"Hughes County, Oklahoma",44799
"Jackson County, Oklahoma",60954
"Jefferson County, Oklahoma",48346
"Johnston County, Oklahoma",48476
"Kay County, Oklahoma",53746
"Kingfisher County, Oklahoma",65167
"Kiowa County, Oklahoma",42679
"Latimer County, Oklahoma",42735
"Le Flore County, Oklahoma",46750
"Lincoln County, Oklahoma",57656
"Logan County, Oklahoma",80565
"Love County, Oklahoma",60758
"McClain County, Oklahoma",80150
"McCurtain County, Oklahoma",47046
"McIntosh County, Oklahoma",43467
"Major County, Oklahoma",67621
"Marshall County, Oklahoma",53734
"Mayes County, Oklahoma",56552
"Murray County, Oklahoma",60213
"Muskogee County, Oklahoma",50289
"Noble County, Oklahoma",66813
"Nowata County, Oklahoma",50960
"Okfuskee County, Oklahoma",45429
"Oklahoma County, Oklahoma",62505
"Okmulgee County, Oklahoma",50819
"Osage County, Oklahoma",58189
"Ottawa County, Oklahoma",46186
"Pawnee County, Oklahoma",56279
"Payne County, Oklahoma",46658
"Pittsburg County, Oklahoma",53054
"Pontotoc County, Oklahoma",59457
"Pottawatomie County, Oklahoma",58270
"Pushmataha County, Oklahoma",42274
"Roger Mills County, Oklahoma",57574
"Rogers County, Oklahoma",75312
"Seminole County, Oklahoma",43239
"Sequoyah County, Oklahoma",47494
"Stephens County, Oklahoma",57065
"Texas County, Oklahoma",55682
"Tillman County, Oklahoma",46306
"Tulsa County, Oklahoma",65229
"Wagoner County, Oklahoma",75082
"Washington County, Oklahoma",59426
"Washita County, Oklahoma",60600
"Woods County, Oklahoma",50724
"Woodward County, Oklahoma",61207
"Baker County, Oregon",51657
"Benton County, Oregon",72882
"Clackamas County, Oregon",95740
"Clatsop County, Oregon",68025
"Columbia County, Oregon",83265
"Coos County, Oregon",57563
"Crook County, Oregon",74969
"Curry County, Oregon",64300
"Deschutes County, Oregon",82042
"Douglas County, Oregon",56440
"Gilliam County, Oregon",58409
"Grant County, Oregon",56045
"Harney County, Oregon",45462
"Hood River County, Oregon",80254
"Jackson County, Oregon",67690
"Jefferson County, Oregon",69345
"Josephine County, Oregon",56068
"Klamath County, Oregon",57219
"Lake County, Oregon",54663
"Lane County, Oregon",65157
"Lincoln County, Oregon",57794
"Linn County, Oregon",69523
"Malheur County, Oregon",48371
"Marion County, Oregon",70926
"Morrow County, Oregon",64975
"Multnomah County, Oregon",83668
"Polk County, Oregon",77353
"Sherman County, Oregon",57171
"Tillamook County, Oregon",63098
"Umatilla County, Oregon",70322
"Union County, Oregon",61946
"Wallowa County, Oregon",62238
"Wasco County, Oregon",61316
"Washington County, Oregon",100121
"Wheeler County, Oregon",50774
"Yamhill County, Oregon",80125
"Adams County, Pennsylvania",78975
"Allegheny County, Pennsylvania",72537
"Armstrong County, Pennsylvania",61011
"Beaver County, Pennsylvania",67194
"Bedford County, Pennsylvania",58337
"Berks County, Pennsylvania",74617
"Blair County, Pennsylvania",59386
"Bradford County, Pennsylvania",60650
"Bucks County, Pennsylvania",107826
"Butler County, Pennsylvania",82932
"Cambria County, Pennsylvania",54221
"Cameron County, Pennsylvania",46186
"Carbon County, Pennsylvania",64538
"Centre County, Pennsylvania",70087
"Chester County, Pennsylvania",118574
"Clarion County, Pennsylvania",58690
"Clearfield County, Pennsylvania",56982
"Clinton County, Pennsylvania",59011
"Columbia County, Pennsylvania",59457
"Crawford County, Pennsylvania",58734
"Cumberland County, Pennsylvania",82849
"Dauphin County, Pennsylvania",71046
"Delaware County, Pennsylvania",86390
"Elk County, Pennsylvania",61672
"Erie County, Pennsylvania",59396
"Fayette County, Pennsylvania",55579
"Forest County, Pennsylvania",46188
"Franklin County, Pennsylvania",71808
"Fulton County, Pennsylvania",63153
"Greene County, Pennsylvania",66283
"Huntingdon County, Pennsylvania",61300
"Indiana County, Pennsylvania",57170
"Jefferson County, Pennsylvania",56607
"Juniata County, Pennsylvania",61915
"Lackawanna County, Pennsylvania",63739
"Lancaster County, Pennsylvania",81458
"Lawrence County, Pennsylvania",57585
"Lebanon County, Pennsylvania",72532
"Lehigh County, Pennsylvania",74973
"Luzerne County, Pennsylvania",60836
"Lycoming County, Pennsylvania",63437
"McKean County, Pennsylvania",57861
"Mercer County, Pennsylvania",57353
"Mifflin County, Pennsylvania",58012
"Monroe County, Pennsylvania",80656
"Montgomery County, Pennsylvania",107441
"Montour County, Pennsylvania",72626
"Northampton County, Pennsylvania",82201
"Northumberland County, Pennsylvania",55952
"Perry County, Pennsylvania",76103
"Philadelphia County, Pennsylvania",57537
"Pike County, Pennsylvania",76416
"Potter County, Pennsylvania",56491
"Schuylkill County, Pennsylvania",63574
"Snyder County, Pennsylvania",65914
"Somerset County, Pennsylvania",57357
"Sullivan County, Pennsylvania",62910
"Susquehanna County, Pennsylvania",63968
"Tioga County, Pennsylvania",59707
"Union County, Pennsylvania",64914
"Venango County, Pennsylvania",59278
"Warren County, Pennsylvania",57925
"Washington County, Pennsylvania",74403
"Wayne County, Pennsylvania",59240
"Westmoreland County, Pennsylvania",69454
"Wyoming County, Pennsylvania",67968
"York County, Pennsylvania",79183
"Bristol County, Rhode Island",105875
"Kent County, Rhode Island",85732
"Newport County, Rhode Island",96319
"Providence County, Rhode Island",72579
"Washington County, Rhode Island",99510
"Abbeville County, South Carolina",49759
"Aiken County, South Carolina",63212
"Allendale County, South Carolina",37096
"Anderson County, South Carolina",62347
"Bamberg County, South Carolina",43920
"Barnwell County, South Carolina",42470
"Beaufort County, South Carolina",81260
"Berkeley County, South Carolina",77874
"Calhoun County, South Carolina",55550
"Charleston County, South Carolina",78795
"Cherokee County, South Carolina",47011
"Chester County, South Carolina",50022
"Chesterfield County, South Carolina",46326
"Clarendon County, South Carolina",48677
"Colleton County, South Carolina",46795
"Darlington County, South Carolina",44317
"Dillon County, South Carolina",42454
"Dorchester County, South Carolina",73686
"Edgefield County, South Carolina",60033
"Fairfield County, South Carolina",44521
"Florence County, South Carolina",56088
"Georgetown County, South Carolina",59782
"Greenville County, South Carolina",71328
"Greenwood County, South Carolina",47553
"Hampton County, South Carolina",40157
"Horry County, South Carolina",59880
"Jasper County, South Carolina",60452
"Kershaw County, South Carolina",61343
"Lancaster County, South Carolina",72186
"Laurens County, South Carolina",52077
"Lee County, South Carolina",39099
"Lexington County, South Carolina",71280
"McCormick County, South Carolina",55569
"Marion County, South Carolina",35972
"Marlboro County, South Carolina",34275
"Newberry County, South Carolina",56706
"Oconee County, South Carolina",56710
"Orangeburg County, South Carolina",41020
"Pickens County, South Carolina",57628
"Richland County, South Carolina",59850
"Saluda County, South Carolina",51041
"Spartanburg County, South Carolina",61955
"Sumter County, South Carolina",53970
"Union County, South Carolina",42305
"Williamsburg County, South Carolina",40848
"York County, South Carolina",80158
"Aurora County, South Dakota",71490
"Beadle County, South Dakota",63813
"Bennett County, South Dakota",44821
"Bon Homme County, South Dakota",57554
"Brookings County, South Dakota",64438
"Brown County, South Dakota",70379
"Brule County, South Dakota",64821
"Buffalo County, South Dakota",42917
"Butte County, South Dakota",58106
"Campbell County, South Dakota",66932
"Charles Mix County, South Dakota",60729
"Clark County, South Dakota",59340
"Clay County, South Dakota",55963
"Codington County, South Dakota",65747
"Corson County, South Dakota",48125
"Custer County, South Dakota",75943
"Davison County, South Dakota",55606
"Day County, South Dakota",57558
"Deuel County, South Dakota",76997
"Dewey County, South Dakota",55077
"Douglas County, South Dakota",75048
"Edmunds County, South Dakota",76806
"Fall River County, South Dakota",54886
"Faulk County, South Dakota",56734
"Grant County, South Dakota",70851
"Gregory County, South Dakota",48272
"Haakon County, South Dakota",53109
"Hamlin County, South Dakota",76995
"Hand County, South Dakota",72857
"Hanson County, South Dakota",86827
"Harding County, South Dakota",71484
"Hughes County, South Dakota",83750
"Hutchinson County, South Dakota",69139
"Hyde County, South Dakota",69712
"Jackson County, South Dakota",26078
"Jerauld County, South Dakota",66607
"Jones County, South Dakota",61250
"Kingsbury County, South Dakota",65964
"Lake County, South Dakota",74884
"Lawrence County, South Dakota",62977
"Lincoln County, South Dakota",92317
"Lyman County, South Dakota",60284
"McCook County, South Dakota",74873
"McPherson County, South Dakota",58529
"Marshall County, South Dakota",74018
"Meade County, South Dakota",70256
"Mellette County, South Dakota",41397
"Miner County, South Dakota",62037
"Minnehaha County, South Dakota",73110
"Moody County, South Dakota",71469
"Oglala Lakota County, South Dakota",32279
"Pennington County, South Dakota",67823
"Perkins County, South Dakota",64410
"Potter County, South Dakota",71786
"Roberts County, South Dakota",59022
"Sanborn County, South Dakota",65806
"Spink County, South Dakota",65795
"Stanley County, South Dakota",82298
"Sully County, South Dakota",66875
"Todd County, South Dakota",33792
"Tripp County, South Dakota",56758
"Turner County, South Dakota",72312
"Union County, South Dakota",82036
"Walworth County, South Dakota",57697
"Yankton County, South Dakota",68847
"Ziebach County, South Dakota",46023
"Anderson County, Tennessee",60633
"Bedford County, Tennessee",59955
"Benton County, Tennessee",47737
"Bledsoe County, Tennessee",51783
"Blount County, Tennessee",70935
"Bradley County, Tennessee",60692
"Campbell County, Tennessee",48258
"Cannon County, Tennessee",57651
"Carroll County, Tennessee",49700
"Carter County, Tennessee",47994
"Cheatham County, Tennessee",77014
"Chester County, Tennessee",57471
"Claiborne County, Tennessee",42406
"Clay County, Tennessee",39572
"Cocke County, Tennessee",45110
"Coffee County, Tennessee",57424
"Crockett County, Tennessee",59136
"Cumberland County, Tennessee",56002
"Davidson County, Tennessee",71863
"Decatur County, Tennessee",48466
"DeKalb County, Tennessee",46907
"Dickson County, Tennessee",68492
"Dyer County, Tennessee",53150
"Fayette County, Tennessee",81074
"Fentress County, Tennessee",47884
"Franklin County, Tennessee",57933
"Gibson County, Tennessee",55455
"Giles County, Tennessee",56877
"Grainger County, Tennessee",47098
"Greene County, Tennessee",51975
"Grundy County, Tennessee",47948
"Hamblen County, Tennessee",49656
"Hamilton County, Tennessee",69069
"Hancock County, Tennessee",31809
"Hardeman County, Tennessee",43566
"Hardin County, Tennessee",46902
"Hawkins County, Tennessee",53647
"Haywood County, Tennessee",44890
"Henderson County, Tennessee",51576
"Henry County, Tennessee",48025
"Hickman County, Tennessee",54669
"Houston County, Tennessee",51544
"Humphreys County, Tennessee",54185
"Jackson County, Tennessee",42357
"Jefferson County, Tennessee",60393
"Johnson County, Tennessee",47571
"Knox County, Tennessee",68580
"Lake County, Tennessee",32064
"Lauderdale County, Tennessee",46702
"Lawrence County, Tennessee",51038
"Lewis County, Tennessee",44613
"Lincoln County, Tennessee",61374
"Loudon County, Tennessee",75008
"McMinn County, Tennessee",57982
"McNairy County, Tennessee",46920
"Macon County, Tennessee",51215
"Madison County, Tennessee",55280
"Marion County, Tennessee",58139
"Marshall County, Tennessee",65325
"Maury County, Tennessee",71500
"Meigs County, Tennessee",59434
"Monroe County, Tennessee",52123
"Montgomery County, Tennessee",67890
"Moore County, Tennessee",69250
"Morgan County, Tennessee",51971
"Obion County, Tennessee",50638
"Overton County, Tennessee",46580
"Perry County, Tennessee",55978
"Pickett County, Tennessee",44317
"Polk County, Tennessee",53775
"Putnam County, Tennessee",54371
"Rhea County, Tennessee",55568
"Roane County, Tennessee",66460
"Robertson County, Tennessee",74440
"Rutherford County, Tennessee",78291
"Scott County, Tennessee",39744
"Sequatchie County, Tennessee",53038
"Sevier County, Tennessee",60103
"Shelby County, Tennessee",59621
"Smith County, Tennessee",57677
"Stewart County, Tennessee",57257
"Sullivan County, Tennessee",54357
"Sumner County, Tennessee",81883
"Tipton County, Tennessee",70674
"Trousdale County, Tennessee",62018
"Unicoi County, Tennessee",49855
"Union County, Tennessee",57094
"Van Buren County, Tennessee",44730
"Warren County, Tennessee",52948
"Washington County, Tennessee",58507
"Wayne County, Tennessee",49360
"Weakley County, Tennessee",47769
"White County, Tennessee",48220
"Williamson County, Tennessee",125943
"Wilson County, Tennessee",89462
"Anderson County, Texas",57445
"Andrews County, Texas",86458
"Angelina County, Texas",57055
"Aransas County, Texas",58168
"Archer County, Texas",69954
"Armstrong County, Texas",70417
"Atascosa County, Texas",67442
"Austin County, Texas",73556
"Bailey County, Texas",69830
"Bandera County, Texas",70965
"Bastrop County, Texas",80151
"Baylor County, Texas",52716
"Bee County, Texas",50283
"Bell County, Texas",62858
"Bexar County, Texas",67275
"Blanco County, Texas",79717
"Borden County, Texas",80625
"Bosque County, Texas",63868
"Bowie County, Texas",56628
"Brazoria County, Texas",91972
"Brazos County, Texas",57562
"Brewster County, Texas",47747
"Briscoe County, Texas",35446
"Brooks County, Texas",30566
"Brown County, Texas",53792
"Burleson County, Texas",71745
"Burnet County, Texas",71482
"Caldwell County, Texas",66779
"Calhoun County, Texas",62267
"Callahan County, Texas",63906
"Cameron County, Texas",47435
"Camp County, Texas",53968
"Carson County, Texas",83199
"Cass County, Texas",54303
"Castro County, Texas",59886
"Chambers County, Texas",106103
"Cherokee County, Texas",56971
"Childress County, Texas",56063
"Clay County, Texas",75227
"Cochran County, Texas",41597
"Coke County, Texas",40230
"Coleman County, Texas",51034
"Collin County, Texas",113255
"Collingsworth County, Texas",52045
"Colorado County, Texas",63352
"Comal County, Texas",93744
"Comanche County, Texas",57383
"Concho County, Texas",55750
"Cooke County, Texas",66374
"Coryell County, Texas",63281
"Cottle County, Texas",47625
"Crane County, Texas",71364
"Crockett County, Texas",64103
"Crosby County, Texas",50268
"Culberson County, Texas",35924
"Dallam County, Texas",71969
"Dallas County, Texas",70732
"Dawson County, Texas",45268
"Deaf Smith County, Texas",51942
"Delta County, Texas",68491
"Denton County, Texas",104180
"DeWitt County, Texas",61100
"Dickens County, Texas",46638
"Dimmit County, Texas",27374
"Donley County, Texas",51711
"Duval County, Texas",50697
"Eastland County, Texas",52902
"Ector County, Texas",70566
"Edwards County, Texas",40809
"Ellis County, Texas",93248
"El Paso County, Texas",55417
"Erath County, Texas",59654
"Falls County, Texas",45172
"Fannin County, Texas",65835
"Fayette County, Texas",72881
"Fisher County, Texas",60461
"Floyd County, Texas",49321
"Foard County, Texas",41944
"Fort Bend County, Texas",109987
"Franklin County, Texas",67915
"Freestone County, Texas",55902
"Frio County, Texas",56042
"Gaines County, Texas",73299
"Galveston County, Texas",83913
"Garza County, Texas",56215
"Gillespie County, Texas",70162
"Glasscock County, Texas",112188
"Goliad County, Texas",58125
"Gonzales County, Texas",64255
"Gray County, Texas",54563
"Grayson County, Texas",66608
"Gregg County, Texas",63811
"Grimes County, Texas",63484
"Guadalupe County, Texas",88111
"Hale County, Texas",50721
"Hall County, Texas",43873
"Hamilton County, Texas",54890
"Hansford County, Texas",62350
"Hardeman County, Texas",60455
"Hardin County, Texas",70164
"Harris County, Texas",70789
"Harrison County, Texas",63427
"Hartley County, Texas",78065
"Haskell County, Texas",52786
"Hays County, Texas",79990
"Hemphill County, Texas",67798
"Henderson County, Texas",59778
"Hidalgo County, Texas",49371
"Hill County, Texas",60669
"Hockley County, Texas",53283
"Hood County, Texas",80013
"Hopkins County, Texas",63766
"Houston County, Texas",51043
"Howard County, Texas",67243
"Hudspeth County, Texas",35163
"Hunt County, Texas",66885
"Hutchinson County, Texas",62211
"Irion County, Texas",54708
"Jack County, Texas",58861
"Jackson County, Texas",67176
"Jasper County, Texas",48818
"Jeff Davis County, Texas",38125
"Jefferson County, Texas",57294
"Jim Hogg County, Texas",42292
"Jim Wells County, Texas",46626
"Johnson County, Texas",77058
"Jones County, Texas",59361
"Karnes County, Texas",57798
"Kaufman County, Texas",84075
"Kendall County, Texas",104196
"Kenedy County, Texas",45455
"Kent County, Texas",68553
"Kerr County, Texas",66713
"Kimble County, Texas",62386
"King County, Texas",59375
"Kinney County, Texas",52386
"Kleberg County, Texas",52487
"Knox County, Texas",48750
"Lamar County, Texas",58246
"Lamb County, Texas",54519
"Lampasas County, Texas",73269
"La Salle County, Texas",62798
"Lavaca County, Texas",58530
"Lee County, Texas",66448
"Leon County, Texas",57363
"Liberty County, Texas",59605
"Limestone County, Texas",53102
"Lipscomb County, Texas",71625
"Live Oak County, Texas",55949
"Llano County, Texas",64241
"Lubbock County, Texas",61911
"Lynn County, Texas",52996
"McCulloch County, Texas",53214
"McLennan County, Texas",59781
"McMullen County, Texas",60313
"Madison County, Texas",65768
"Marion County, Texas",48040
"Martin County, Texas",70217
"Mason County, Texas",77583
"Matagorda County, Texas",56412
"Maverick County, Texas",48497
"Medina County, Texas",73060
"Menard County, Texas",40945
"Midland County, Texas",90123
"Milam County, Texas",56985
"Mills County, Texas",59315
"Mitchell County, Texas",49869
"Montague County, Texas",63336
"Montgomery County, Texas",95946
"Moore County, Texas",59041
"Morris County, Texas",51532
"Motley County, Texas",66528
"Nacogdoches County, Texas",51153
"Navarro County, Texas",56261
"Newton County, Texas",38871
"Nolan County, Texas",47437
"Nueces County, Texas",64027
"Ochiltree County, Texas",62240
"Oldham County, Texas",71103
"Orange County, Texas",71910
"Palo Pinto County, Texas",65242
"Panola County, Texas",58205
"Parker County, Texas",95721
"Parmer County, Texas",65575
"Pecos County, Texas",59325
"Polk County, Texas",57315
"Potter County, Texas",47974
"Presidio County, Texas",29012
"Rains County, Texas",60291
"Randall County, Texas",78038
"Reagan County, Texas",70319
"Real County, Texas",46842
"Red River County, Texas",44583
"Reeves County, Texas",57487
"Refugio County, Texas",54304
