County,Median_Household_Income
"Brown County, Illinois",64760
"Bureau County, Illinois",64165
"Calhoun County, Illinois",88059
"Carroll County, Illinois",61539
"Cass County, Illinois",64826
"Champaign County, Illinois",61090
"Christian County, Illinois",56933
"Clark County, Illinois",65874
"Clay County, Illinois",58028
"Clinton County, Illinois",78054
"Coles County, Illinois",53732
"Cook County, Illinois",78304
"Crawford County, Illinois",64163
"Cumberland County, Illinois",71274
"DeKalb County, Illinois",68617
"De Witt County, Illinois",61823
"Douglas County, Illinois",67177
"DuPage County, Illinois",107035
"Edgar County, Illinois",56687
"Edwards County, Illinois",60784
"Effingham County, Illinois",73181
"Fayette County, Illinois",51962
"Ford County, Illinois",58930
"Franklin County, Illinois",51031
"Fulton County, Illinois",57223
"Gallatin County, Illinois",51868
"Greene County, Illinois",58900
"Grundy County, Illinois",89993
"Hamilton County, Illinois",60574
"Hancock County, Illinois",61026
"Hardin County, Illinois",53026
"Henderson County, Illinois",64946
"Henry County, Illinois",66313
"Iroquois County, Illinois",62866
"Jackson County, Illinois",44847
"Jasper County, Illinois",67429
"Jefferson County, Illinois",58384
"Jersey County, Illinois",77607
"Jo Daviess County, Illinois",67729
"Johnson County, Illinois",63295
"Kane County, Illinois",96400
"Kankakee County, Illinois",65489
"Kendall County, Illinois",106358
"Knox County, Illinois",50263
"Lake County, Illinois",104553
"LaSalle County, Illinois",67942
"Lawrence County, Illinois",55811
"Lee County, Illinois",64588
"Livingston County, Illinois",68175
"Logan County, Illinois",62547
"McDonough County, Illinois",48904
"McHenry County, Illinois",100101
"McLean County, Illinois",75356
"Macon County, Illinois",59622
"Macoupin County, Illinois",64706
"Madison County, Illinois",71759
"Marion County, Illinois",59099
"Marshall County, Illinois",64940
"Mason County, Illinois",58479
"Massac County, Illinois",57365
"Menard County, Illinois",84846
"Mercer County, Illinois",67028
"Monroe County, Illinois",100685
"Montgomery County, Illinois",61796
"Morgan County, Illinois",61188
"Moultrie County, Illinois",72833
"Ogle County, Illinois",75782
"Peoria County, Illinois",63409
"Perry County, Illinois",56338
"Piatt County, Illinois",81151
"Pike County, Illinois",55514
"Pope County, Illinois",57582
"Pulaski County, Illinois",41038
"Putnam County, Illinois",75726
"Randolph County, Illinois",63860
"Richland County, Illinois",61607
"Rock Island County, Illinois",64435
"St. Clair County, Illinois",68915
"Saline County, Illinois",51710
"Sangamon County, Illinois",71653
"Schuyler County, Illinois",63737
"Scott County, Illinois",70500
"Shelby County, Illinois",65585
"Stark County, Illinois",58125
"Stephenson County, Illinois",57527
"Tazewell County, Illinois",74606
"Union County, Illinois",54090
"Vermilion County, Illinois",52787
"Wabash County, Illinois",54074
"Warren County, Illinois",62700
"Washington County, Illinois",75111
"Wayne County, Illinois",53522
"White County, Illinois",54605
"Whiteside County, Illinois",62828
"Will County, Illinois",103678
"Williamson County, Illinois",60325
"Winnebago County, Illinois",61738
"Woodford County, Illinois",80093
"Adams County, Indiana",61731
"Allen County, Indiana",66222
"Bartholomew County, Indiana",76912
"Benton County, Indiana",58620
"Blackford County, Indiana",51108
"Boone County, Indiana",103038
"Brown County, Indiana",73933
"Carroll County, Indiana",61464
"Cass County, Indiana",55862
"Clark County, Indiana",69005
"Clay County, Indiana",68364
"Clinton County, Indiana",59515
"Crawford County, Indiana",46706
"Daviess County, Indiana",64113
"Dearborn County, Indiana",80352
"Decatur County, Indiana",71566
"DeKalb County, Indiana",68110
"Delaware County, Indiana",53377
"Dubois County, Indiana",68945
"Elkhart County, Indiana",63978
"Fayette County, Indiana",52219
"Floyd County, Indiana",75686
"Fountain County, Indiana",60559
"Franklin County, Indiana",75985
"Fulton County, Indiana",62644
"Gibson County, Indiana",64153
"Grant County, Indiana",53033
"Greene County, Indiana",57771
"Hamilton County, Indiana",114866
"Hancock County, Indiana",85262
"Harrison County, Indiana",71302
"Hendricks County, Indiana",95261
"Henry County, Indiana",57632
"Howard County, Indiana",62014
"Huntington County, Indiana",59894
"Jackson County, Indiana",65609
"Jasper County, Indiana",77777
"Jay County, Indiana",52231
"Jefferson County, Indiana",57801
"Jennings County, Indiana",66892
"Johnson County, Indiana",82730
"Knox County, Indiana",58173
"Kosciusko County, Indiana",70945
"LaGrange County, Indiana",81658
"Lake County, Indiana",66375
"LaPorte County, Indiana",66854
"Lawrence County, Indiana",64210
"Madison County, Indiana",60060
"Marion County, Indiana",59504
"Marshall County, Indiana",66016
"Martin County, Indiana",65489
"Miami County, Indiana",59551
"Monroe County, Indiana",60308
"Montgomery County, Indiana",62937
"Morgan County, Indiana",79134
"Newton County, Indiana",63673
"Noble County, Indiana",70286
"Ohio County, Indiana",66333
"Orange County, Indiana",60775
"Owen County, Indiana",57947
"Parke County, Indiana",63393
"Perry County, Indiana",58936
"Pike County, Indiana",64182
"Porter County, Indiana",82915
"Posey County, Indiana",75594
"Pulaski County, Indiana",56823
"Putnam County, Indiana",70609
"Randolph County, Indiana",59674
"Ripley County, Indiana",70285
"Rush County, Indiana",62386
"St. Joseph County, Indiana",61877
"Scott County, Indiana",49343
"Shelby County, Indiana",66449
"Spencer County, Indiana",66168
"Starke County, Indiana",59916
"Steuben County, Indiana",68837
"Sullivan County, Indiana",54556
"Switzerland County, Indiana",66525
"Tippecanoe County, Indiana",55728
"Tipton County, Indiana",71947
"Union County, Indiana",68514
"Vanderburgh County, Indiana",58839
"Vermillion County, Indiana",59567
"Vigo County, Indiana",52789
"Wabash County, Indiana",66194
"Warren County, Indiana",72833
"Warrick County, Indiana",91105
"Washington County, Indiana",60695
"Wayne County, Indiana",54854
"Wells County, Indiana",68074
"White County, Indiana",65345
"Whitley County, Indiana",73636
"Adair County, Iowa",63172
"Adams County, Iowa",64750
"Allamakee County, Iowa",64049
"Appanoose County, Iowa",50684
"Audubon County, Iowa",54973
"Benton County, Iowa",79444
"Black Hawk County, Iowa",62329
"Boone County, Iowa",75759
"Bremer County, Iowa",84727
"Buchanan County, Iowa",73493
"Buena Vista County, Iowa",62662
"Butler County, Iowa",65743
"Calhoun County, Iowa",65614
"Carroll County, Iowa",68041
"Cass County, Iowa",60815
"Cedar County, Iowa",76959
"Cerro Gordo County, Iowa",63149
"Cherokee County, Iowa",63638
"Chickasaw County, Iowa",72734
"Clarke County, Iowa",63120
"Clay County, Iowa",61756
"Clayton County, Iowa",60441
"Clinton County, Iowa",61080
"Crawford County, Iowa",61188
"Dallas County, Iowa",99533
"Davis County, Iowa",77176
"Decatur County, Iowa",56068
"Delaware County, Iowa",75896
"Des Moines County, Iowa",58084
"Dickinson County, Iowa",72446
"Dubuque County, Iowa",73495
"Emmet County, Iowa",64461
"Fayette County, Iowa",56043
"Floyd County, Iowa",62356
"Franklin County, Iowa",62214
"Fremont County, Iowa",69375
"Greene County, Iowa",56884
"Grundy County, Iowa",80701
"Guthrie County, Iowa",75795
"Hamilton County, Iowa",66685
"Hancock County, Iowa",67865
"Hardin County, Iowa",64656
"Harrison County, Iowa",75830
"Henry County, Iowa",62365
"Howard County, Iowa",63947
"Humboldt County, Iowa",66617
"Ida County, Iowa",63125
"Iowa County, Iowa",69787
"Jackson County, Iowa",69709
"Jasper County, Iowa",67784
"Jefferson County, Iowa",52210
"Johnson County, Iowa",72977
"Jones County, Iowa",68781
"Keokuk County, Iowa",60016
"Kossuth County, Iowa",62553
"Lee County, Iowa",58094
"Linn County, Iowa",75457
"Louisa County, Iowa",72500
"Lucas County, Iowa",63405
"Lyon County, Iowa",73735
"Madison County, Iowa",88110
"Mahaska County, Iowa",65200
"Marion County, Iowa",74193
"Marshall County, Iowa",70828
"Mills County, Iowa",81907
"Mitchell County, Iowa",66056
"Monona County, Iowa",59897
"Monroe County, Iowa",76324
"Montgomery County, Iowa",61261
"Muscatine County, Iowa",67427
"O'Brien County, Iowa",65076
"Osceola County, Iowa",67561
"Page County, Iowa",58264
"Palo Alto County, Iowa",67306
"Plymouth County, Iowa",79963
"Pocahontas County, Iowa",61434
"Polk County, Iowa",78827
"Pottawattamie County, Iowa",68718
"Poweshiek County, Iowa",61192
"Ringgold County, Iowa",67898
"Sac County, Iowa",68778
"Scott County, Iowa",72792
"Shelby County, Iowa",70295
"Sioux County, Iowa",81914
"Story County, Iowa",66197
"Tama County, Iowa",65483
"Taylor County, Iowa",65926
"Union County, Iowa",56495
"Van Buren County, Iowa",58417
"Wapello County, Iowa",56209
"Warren County, Iowa",89741
"Washington County, Iowa",71122
"Wayne County, Iowa",58257
"Webster County, Iowa",65335
"Winnebago County, Iowa",62853
"Winneshiek County, Iowa",67770
"Woodbury County, Iowa",68399
"Worth County, Iowa",69897
"Wright County, Iowa",58240
"Allen County, Kansas",55059
"Anderson County, Kansas",67651
"Atchison County, Kansas",55281
"Barber County, Kansas",53774
"Barton County, Kansas",54634
"Bourbon County, Kansas",55826
"Brown County, Kansas",55876
"Butler County, Kansas",77724
"Chase County, Kansas",52481
"Chautauqua County, Kansas",51210
"Cherokee County, Kansas",53382
"Cheyenne County, Kansas",52730
"Clark County, Kansas",58287
"Clay County, Kansas",57765
"Cloud County, Kansas",51197
"Coffey County, Kansas",67645
"Comanche County, Kansas",49754
"Cowley County, Kansas",55726
"Crawford County, Kansas",49779
"Decatur County, Kansas",49412
"Dickinson County, Kansas",62971
"Doniphan County, Kansas",66358
"Douglas County, Kansas",66153
"Edwards County, Kansas",52750
"Elk County, Kansas",50000
"Ellis County, Kansas",59665
"Ellsworth County, Kansas",59844
"Finney County, Kansas",68481
"Ford County, Kansas",67997
"Franklin County, Kansas",68217
"Geary County, Kansas",57992
"Gove County, Kansas",59417
"Graham County, Kansas",47071
"Grant County, Kansas",84808
